year,sex,profession,income,net_worth,age,happiness
0,F,civil servant,5131.08,10000.0,40,100.0
0,M,child,0.0,10000.0,1,100.0
0,M,unemployed,124.1,10000.0,25,100.0
0,M,farmer,1868.39,10000.0,36,100.0
0,F,child,0.0,10000.0,1,100.0
0,F,civil servant,5045.29,10000.0,41,100.0
0,F,child,0.0,10000.0,8,100.0
0,M,homemaker,149.64,10000.0,30,100.0
0,M,child,0.0,10000.0,3,100.0
0,M,fisher,1381.2,10000.0,24,100.0
0,M,child,0.0,10000.0,13,100.0
0,F,fisher,1289.44,10000.0,21,100.0
0,M,homemaker,236.64,10000.0,49,100.0
0,M,farmer,1354.75,10000.0,24,100.0
0,F,craftsman,4597.94,10000.0,48,100.0
0,F,service provider,6856.92,10000.0,54,100.0
0,M,child,0.0,10000.0,16,100.0
0,F,child,0.0,10000.0,5,100.0
0,F,child,0.0,10000.0,1,100.0
0,M,civil servant,4389.01,10000.0,35,100.0
0,F,civil servant,7777.5,10000.0,64,100.0
0,F,unemployed,113.73,10000.0,22,100.0
0,M,craftsman,4089.14,10000.0,42,100.0
0,M,homemaker,227.98,10000.0,50,100.0
0,F,service provider,5385.51,10000.0,42,100.0
0,M,service provider,6093.55,10000.0,49,100.0
0,M,farmer,3086.57,10000.0,61,100.0
0,M,child,0.0,10000.0,12,100.0
0,F,child,0.0,10000.0,1,100.0
0,F,child,0.0,10000.0,9,100.0
0,F,child,0.0,10000.0,8,100.0
0,F,civil servant,5392.38,10000.0,43,100.0
0,F,farmer,1936.89,10000.0,36,100.0
0,X,child,0.0,10000.0,14,100.0
0,M,fisher,2372.7,10000.0,45,100.0
0,F,homemaker,235.72,10000.0,49,100.0
0,F,child,0.0,10000.0,10,100.0
0,F,craftsman,3864.62,10000.0,39,100.0
0,F,farmer,2441.01,10000.0,48,100.0
0,F,child,0.0,10000.0,7,100.0
0,F,service provider,6637.22,10000.0,53,100.0
0,M,farmer,3277.47,10000.0,62,100.0
0,M,child,0.0,10000.0,7,100.0
0,M,child,0.0,10000.0,1,100.0
0,M,craftsman,2183.44,10000.0,20,100.0
0,M,craftsman,4399.85,10000.0,44,100.0
0,M,unemployed,293.09,10000.0,62,100.0
0,M,farmer,1367.43,10000.0,25,100.0
0,F,unemployed,220.56,10000.0,46,100.0
0,M,child,0.0,10000.0,4,100.0
0,M,craftsman,4229.55,10000.0,44,100.0
0,M,farmer,2139.94,10000.0,40,100.0
0,M,child,0.0,10000.0,6,100.0
0,F,homemaker,236.3,10000.0,50,100.0
0,F,craftsman,5445.69,10000.0,55,100.0
0,F,homemaker,182.73,10000.0,39,100.0
0,M,child,0.0,10000.0,7,100.0
