year,sex,profession,income,net_worth
0,F,civil servant,5131.08,10000.00
0,M,child,0.00,10000.00
0,M,unemployed,124.10,10000.00
0,M,farmer,1868.39,10000.00
0,F,child,0.00,10000.00
0,F,civil servant,5045.29,10000.00
0,F,child,0.00,10000.00
0,M,homemaker,149.64,10000.00
0,M,child,0.00,10000.00
0,M,fisher,1381.20,10000.00
0,M,child,0.00,10000.00
0,F,fisher,1289.44,10000.00
0,M,homemaker,236.64,10000.00
0,M,farmer,1354.75,10000.00
0,F,craftsman,4597.94,10000.00
0,F,service provider,6856.92,10000.00
0,M,child,0.00,10000.00
0,F,child,0.00,10000.00
0,F,child,0.00,10000.00
0,M,civil servant,4389.01,10000.00
0,F,civil servant,7777.50,10000.00
0,F,unemployed,113.73,10000.00
0,M,craftsman,4089.14,10000.00
0,M,homemaker,227.98,10000.00
0,F,service provider,5385.51,10000.00
0,M,service provider,6093.55,10000.00
0,M,farmer,3086.57,10000.00
0,M,child,0.00,10000.00
0,F,child,0.00,10000.00
0,F,child,0.00,10000.00
0,F,child,0.00,10000.00
0,F,civil servant,5392.38,10000.00
0,F,farmer,1936.89,10000.00
0,X,child,0.00,10000.00
0,M,fisher,2372.70,10000.00
0,F,homemaker,235.72,10000.00
0,F,child,0.00,10000.00
0,F,craftsman,3864.62,10000.00
0,F,farmer,2441.01,10000.00
0,F,child,0.00,10000.00
0,F,service provider,6637.22,10000.00
0,M,farmer,3277.47,10000.00
0,M,child,0.00,10000.00
0,M,child,0.00,10000.00
0,M,craftsman,2183.44,10000.00
0,M,craftsman,4399.85,10000.00
0,M,unemployed,293.09,10000.00
0,M,farmer,1367.43,10000.00
0,F,unemployed,220.56,10000.00
0,M,child,0.00,10000.00
0,M,craftsman,4229.55,10000.00
0,M,farmer,2139.94,10000.00
0,M,child,0.00,10000.00
0,F,homemaker,236.30,10000.00
0,F,craftsman,5445.69,10000.00
0,F,homemaker,182.73,10000.00
0,M,child,0.00,10000.00
0,F,craftsman,6016.06,10000.00
0,M,fisher,2603.16,10000.00
0,M,civil servant,2925.79,10000.00
0,X,homemaker,134.22,10000.00
0,F,farmer,1392.33,10000.00
0,F,farmer,1683.52,10000.00
0,F,fisher,1288.57,10000.00
0,F,service provider,6900.24,10000.00
0,F,homemaker,247.78,10000.00
0,M,child,0.00,10000.00
0,M,homemaker,287.61,10000.00
0,M,homemaker,197.02,10000.00
0,M,unemployed,237.93,10000.00
0,M,civil servant,5566.21,10000.00
0,F,homemaker,146.93,10000.00
0,F,service provider,5938.20,10000.00
0,M,fisher,3126.70,10000.00
0,F,child,0.00,10000.00
0,M,craftsman,5300.90,10000.00
0,F,farmer,1894.38,10000.00
0,M,homemaker,156.54,10000.00
0,M,fisher,1496.78,10000.00
0,M,service provider,5718.21,10000.00
0,F,child,0.00,10000.00
0,M,farmer,2708.38,10000.00
0,F,homemaker,261.24,10000.00
0,F,child,0.00,10000.00
0,M,service provider,7215.40,10000.00
0,M,child,0.00,10000.00
0,X,civil servant,3758.38,10000.00
0,F,fisher,2173.33,10000.00
0,M,farmer,1316.19,10000.00
0,M,child,0.00,10000.00
0,M,unemployed,255.10,10000.00
0,F,child,0.00,10000.00
0,F,child,0.00,10000.00
0,M,homemaker,246.89,10000.00
0,M,service provider,3123.43,10000.00
0,M,homemaker,278.68,10000.00
0,X,homemaker,218.03,10000.00
0,F,child,0.00,10000.00
0,X,child,0.00,10000.00
0,F,fisher,3087.98,10000.00
0,M,child,0.00,10000.00
0,F,unemployed,229.95,10000.00
0,F,civil servant,3990.84,10000.00
0,F,craftsman,5050.23,10000.00
0,M,civil servant,5699.37,10000.00
0,F,craftsman,4103.65,10000.00
0,M,homemaker,158.16,10000.00
0,M,homemaker,244.32,10000.00
0,M,child,0.00,10000.00
0,F,child,0.00,10000.00
0,F,civil servant,5498.12,10000.00
0,M,fisher,1164.42,10000.00
0,F,unemployed,178.10,10000.00
0,M,craftsman,3070.34,10000.00
0,F,unemployed,168.71,10000.00
0,F,fisher,1525.66,10000.00
0,M,farmer,2561.32,10000.00
0,F,farmer,1206.03,10000.00
0,F,farmer,2246.46,10000.00
0,M,child,0.00,10000.00
0,F,child,0.00,10000.00
0,F,child,0.00,10000.00
0,F,child,0.00,10000.00
0,F,child,0.00,10000.00
0,M,farmer,1760.69,10000.00
0,M,homemaker,227.24,10000.00
0,M,child,0.00,10000.00
0,F,child,0.00,10000.00
0,F,farmer,1738.15,10000.00
0,F,unemployed,224.40,10000.00
0,M,homemaker,292.42,10000.00
0,M,homemaker,173.52,10000.00
0,F,fisher,1072.23,10000.00
0,F,child,0.00,10000.00
0,M,child,0.00,10000.00
0,F,child,0.00,10000.00
0,M,child,0.00,10000.00
0,F,child,0.00,10000.00
0,F,civil servant,4302.98,10000.00
0,M,child,0.00,10000.00
0,M,service provider,7408.69,10000.00
0,F,fisher,1978.67,10000.00
0,M,farmer,2417.02,10000.00
0,F,child,0.00,10000.00
0,M,service provider,6540.82,10000.00
0,M,service provider,4163.27,10000.00
0,F,farmer,2855.48,10000.00
0,F,unemployed,185.66,10000.00
0,M,fisher,1725.47,10000.00
0,M,civil servant,3526.86,10000.00
0,X,child,0.00,10000.00
0,F,child,0.00,10000.00
0,M,homemaker,274.66,10000.00
0,F,civil servant,3877.13,10000.00
0,M,homemaker,237.33,10000.00
0,M,service provider,3519.19,10000.00
0,M,child,0.00,10000.00
0,F,homemaker,197.55,10000.00
0,M,child,0.00,10000.00
0,M,child,0.00,10000.00
0,M,fisher,1854.88,10000.00
0,F,fisher,1174.39,10000.00
0,M,civil servant,7614.21,10000.00
0,F,child,0.00,10000.00
0,F,service provider,5869.60,10000.00
0,M,civil servant,4784.20,10000.00
0,M,homemaker,249.17,10000.00
0,F,child,0.00,10000.00
0,M,craftsman,3287.82,10000.00
0,M,civil servant,3818.51,10000.00
0,F,craftsman,2930.53,10000.00
0,F,civil servant,6904.99,10000.00
0,M,fisher,3328.51,10000.00
0,F,unemployed,102.37,10000.00
0,F,craftsman,4105.77,10000.00
0,M,homemaker,192.63,10000.00
0,M,civil servant,5813.00,10000.00
0,M,farmer,3051.06,10000.00
0,M,child,0.00,10000.00
0,M,child,0.00,10000.00
0,F,fisher,2144.09,10000.00
0,F,child,0.00,10000.00
0,X,child,0.00,10000.00
0,M,child,0.00,10000.00
0,M,child,0.00,10000.00
0,M,fisher,1640.77,10000.00
0,F,craftsman,3778.80,10000.00
0,M,craftsman,2058.11,10000.00
0,M,child,0.00,10000.00
0,M,farmer,2260.05,10000.00
0,M,civil servant,5837.83,10000.00
0,M,farmer,1676.21,10000.00
0,M,homemaker,219.31,10000.00
0,F,homemaker,282.24,10000.00
0,M,homemaker,238.68,10000.00
0,F,unemployed,193.53,10000.00
0,F,farmer,2328.41,10000.00
0,M,craftsman,6111.66,10000.00
0,X,service provider,3657.36,10000.00
0,F,farmer,1949.93,10000.00
0,X,craftsman,4167.74,10000.00
0,F,fisher,2993.89,10000.00
0,F,farmer,2642.24,10000.00
0,M,child,0.00,10000.00
0,F,child,0.00,10000.00
0,M,fisher,1132.64,10000.00
0,M,fisher,2567.97,10000.00
0,M,farmer,1937.41,10000.00
0,M,civil servant,2690.83,10000.00
0,X,child,0.00,10000.00
0,M,fisher,2270.85,10000.00
0,F,homemaker,219.35,10000.00
0,M,farmer,3207.95,10000.00
0,M,farmer,1828.12,10000.00
0,F,service provider,4174.82,10000.00
0,X,child,0.00,10000.00
0,F,child,0.00,10000.00
0,F,farmer,1641.44,10000.00
0,M,homemaker,109.13,10000.00
0,M,child,0.00,10000.00
0,X,child,0.00,10000.00
0,F,craftsman,5811.20,10000.00
0,F,service provider,6413.70,10000.00
0,F,craftsman,3685.20,10000.00
0,M,craftsman,6029.73,10000.00
0,F,fisher,3390.55,10000.00
0,F,unemployed,213.55,10000.00
0,F,child,0.00,10000.00
0,M,child,0.00,10000.00
0,X,service provider,5784.05,10000.00
0,M,unemployed,154.46,10000.00
0,M,farmer,2154.59,10000.00
0,F,farmer,2949.24,10000.00
0,F,child,0.00,10000.00
0,M,fisher,2071.53,10000.00
0,M,craftsman,4198.09,10000.00
0,F,homemaker,161.12,10000.00
0,M,child,0.00,10000.00
0,F,civil servant,2947.68,10000.00
0,F,craftsman,2430.06,10000.00
0,M,service provider,5486.32,10000.00
0,F,homemaker,258.96,10000.00
0,F,craftsman,2363.21,10000.00
0,F,homemaker,222.83,10000.00
0,M,homemaker,98.33,10000.00
0,F,homemaker,295.91,10000.00
0,M,farmer,2561.04,10000.00
0,M,craftsman,3777.36,10000.00
0,F,service provider,3993.40,10000.00
0,M,farmer,1147.94,10000.00
0,M,service provider,3078.39,10000.00
0,F,fisher,3199.62,10000.00
0,M,service provider,3395.40,10000.00
0,M,homemaker,165.54,10000.00
0,X,craftsman,6027.12,10000.00
0,X,unemployed,210.52,10000.00
0,M,civil servant,4504.19,10000.00
0,M,farmer,1515.09,10000.00
0,M,child,0.00,10000.00
0,F,unemployed,119.83,10000.00
0,F,farmer,2559.65,10000.00
0,F,homemaker,190.89,10000.00
0,M,farmer,2490.24,10000.00
0,M,child,0.00,10000.00
0,F,unemployed,172.56,10000.00
0,F,homemaker,278.65,10000.00
0,F,farmer,1505.14,10000.00
0,X,service provider,5856.16,10000.00
0,F,child,0.00,10000.00
0,M,service provider,7555.60,10000.00
0,F,fisher,2153.74,10000.00
0,M,child,0.00,10000.00
0,F,child,0.00,10000.00
0,F,farmer,1974.29,10000.00
0,M,farmer,1871.23,10000.00
0,M,child,0.00,10000.00
0,M,craftsman,6157.18,10000.00
0,F,craftsman,5799.87,10000.00
0,M,civil servant,3710.63,10000.00
0,F,child,0.00,10000.00
0,F,service provider,6349.89,10000.00
0,M,farmer,1713.33,10000.00
0,F,civil servant,5945.59,10000.00
0,M,fisher,1816.39,10000.00
0,F,child,0.00,10000.00
0,F,unemployed,251.10,10000.00
0,F,homemaker,281.36,10000.00
0,M,child,0.00,10000.00
0,M,fisher,1863.49,10000.00
0,M,farmer,1364.26,10000.00
0,M,homemaker,283.62,10000.00
0,F,service provider,4259.28,10000.00
0,F,homemaker,270.07,10000.00
0,M,farmer,2931.94,10000.00
0,F,child,0.00,10000.00
0,F,homemaker,234.59,10000.00
0,M,craftsman,2905.42,10000.00
0,M,civil servant,7584.88,10000.00
0,M,unemployed,166.15,10000.00
0,F,service provider,6466.25,10000.00
0,F,homemaker,96.68,10000.00
0,F,homemaker,107.33,10000.00
0,F,civil servant,4653.59,10000.00
0,F,fisher,3324.86,10000.00
0,M,craftsman,3257.89,10000.00
0,M,child,0.00,10000.00
0,M,unemployed,179.53,10000.00
0,F,homemaker,117.51,10000.00
0,F,homemaker,174.78,10000.00
0,F,service provider,4283.13,10000.00
0,F,homemaker,139.96,10000.00
0,M,service provider,2919.09,10000.00
0,M,child,0.00,10000.00
0,M,farmer,2469.06,10000.00
0,F,civil servant,4781.22,10000.00
0,F,child,0.00,10000.00
0,M,civil servant,6302.74,10000.00
0,F,child,0.00,10000.00
0,M,homemaker,225.67,10000.00
0,F,farmer,2444.80,10000.00
0,F,civil servant,6190.85,10000.00
0,X,fisher,1457.24,10000.00
0,F,unemployed,196.25,10000.00
0,F,fisher,2739.87,10000.00
0,M,fisher,3165.73,10000.00
0,F,farmer,1776.00,10000.00
0,M,child,0.00,10000.00
0,F,fisher,1784.59,10000.00
0,F,civil servant,4868.84,10000.00
0,F,craftsman,5486.51,10000.00
0,F,homemaker,261.38,10000.00
0,M,unemployed,135.52,10000.00
0,F,homemaker,168.95,10000.00
0,M,homemaker,139.64,10000.00
0,F,fisher,2417.73,10000.00
0,F,fisher,1441.25,10000.00
0,M,farmer,2329.57,10000.00
0,F,child,0.00,10000.00
0,M,farmer,1581.47,10000.00
0,M,civil servant,7701.95,10000.00
0,F,service provider,3095.50,10000.00
0,M,farmer,2436.20,10000.00
0,M,farmer,2314.51,10000.00
0,M,unemployed,247.33,10000.00
0,M,craftsman,5188.13,10000.00
0,F,farmer,2732.49,10000.00
0,X,homemaker,121.66,10000.00
0,M,homemaker,108.80,10000.00
0,F,civil servant,5877.48,10000.00
0,M,civil servant,5889.49,10000.00
0,X,civil servant,6734.10,10000.00
0,F,child,0.00,10000.00
0,F,child,0.00,10000.00
0,M,farmer,2148.96,10000.00
0,X,craftsman,5709.67,10000.00
0,M,service provider,7739.34,10000.00
0,X,fisher,2627.02,10000.00
0,M,unemployed,138.65,10000.00
0,M,child,0.00,10000.00
0,M,farmer,2216.65,10000.00
0,F,fisher,2978.86,10000.00
0,M,craftsman,3039.64,10000.00
0,F,homemaker,222.59,10000.00
0,F,farmer,3049.50,10000.00
0,M,child,0.00,10000.00
0,F,farmer,2537.17,10000.00
0,M,unemployed,103.00,10000.00
0,F,homemaker,126.19,10000.00
0,M,child,0.00,10000.00
0,F,craftsman,3373.11,10000.00
0,F,fisher,1847.26,10000.00
0,F,civil servant,6045.64,10000.00
0,F,child,0.00,10000.00
0,F,child,0.00,10000.00
0,M,farmer,2878.68,10000.00
0,M,unemployed,192.34,10000.00
0,F,child,0.00,10000.00
0,M,homemaker,282.27,10000.00
0,M,child,0.00,10000.00
0,F,unemployed,147.78,10000.00
0,F,child,0.00,10000.00
0,M,child,0.00,10000.00
0,M,child,0.00,10000.00
0,M,homemaker,253.44,10000.00
0,M,fisher,2852.07,10000.00
0,M,fisher,2323.55,10000.00
0,M,child,0.00,10000.00
0,M,homemaker,136.03,10000.00
0,F,farmer,1250.09,10000.00
0,F,craftsman,4030.33,10000.00
0,F,farmer,2260.95,10000.00
0,F,craftsman,2897.14,10000.00
0,M,child,0.00,10000.00
0,F,fisher,2658.82,10000.00
0,M,child,0.00,10000.00
0,M,service provider,3230.83,10000.00
0,M,unemployed,161.93,10000.00
0,F,child,0.00,10000.00
0,F,civil servant,4889.89,10000.00
0,M,fisher,2002.00,10000.00
0,M,civil servant,7330.19,10000.00
0,M,service provider,2826.86,10000.00
0,M,farmer,3146.90,10000.00
0,F,civil servant,5497.84,10000.00
0,F,child,0.00,10000.00
0,M,service provider,4631.45,10000.00
0,M,civil servant,5614.75,10000.00
0,F,fisher,2557.52,10000.00
0,F,child,0.00,10000.00
0,M,craftsman,3936.15,10000.00
0,F,homemaker,152.82,10000.00
0,F,fisher,2872.01,10000.00
0,F,homemaker,97.40,10000.00
0,M,fisher,2733.19,10000.00
0,M,service provider,4868.83,10000.00
0,M,unemployed,121.66,10000.00
0,M,craftsman,4085.40,10000.00
0,M,unemployed,198.57,10000.00
0,F,homemaker,203.05,10000.00
0,M,craftsman,4826.93,10000.00
0,M,farmer,2273.24,10000.00
0,F,unemployed,253.21,10000.00
0,M,craftsman,4258.82,10000.00
0,F,civil servant,6711.98,10000.00
0,F,unemployed,200.86,10000.00
0,M,fisher,1234.04,10000.00
0,F,service provider,3647.30,10000.00
0,M,service provider,4828.62,10000.00
0,F,homemaker,233.57,10000.00
0,F,child,0.00,10000.00
0,M,unemployed,103.18,10000.00
0,M,unemployed,233.89,10000.00
0,M,child,0.00,10000.00
0,F,child,0.00,10000.00
0,F,farmer,1806.57,10000.00
0,M,homemaker,284.88,10000.00
0,M,fisher,1940.01,10000.00
0,F,unemployed,274.21,10000.00
0,M,unemployed,245.35,10000.00
0,F,child,0.00,10000.00
0,F,farmer,2859.10,10000.00
0,X,craftsman,3239.47,10000.00
0,F,unemployed,249.08,10000.00
0,F,unemployed,231.32,10000.00
0,F,unemployed,112.17,10000.00
0,F,child,0.00,10000.00
0,F,homemaker,290.64,10000.00
0,F,child,0.00,10000.00
0,F,fisher,3253.75,10000.00
0,F,service provider,6836.26,10000.00
0,F,fisher,2354.73,10000.00
0,F,unemployed,281.41,10000.00
0,M,fisher,3226.46,10000.00
0,M,unemployed,247.96,10000.00
0,M,service provider,3228.76,10000.00
0,F,craftsman,4956.38,10000.00
0,F,child,0.00,10000.00
0,F,unemployed,161.47,10000.00
0,F,homemaker,139.54,10000.00
0,M,craftsman,4250.94,10000.00
0,M,farmer,2238.41,10000.00
0,M,farmer,1943.56,10000.00
0,M,farmer,2637.67,10000.00
0,M,craftsman,5756.78,10000.00
0,F,child,0.00,10000.00
0,M,child,0.00,10000.00
0,M,child,0.00,10000.00
0,F,farmer,2910.57,10000.00
0,F,farmer,1953.19,10000.00
0,M,homemaker,271.94,10000.00
0,M,child,0.00,10000.00
0,F,child,0.00,10000.00
0,M,homemaker,237.14,10000.00
0,M,service provider,7031.92,10000.00
0,M,homemaker,100.01,10000.00
0,F,farmer,1488.92,10000.00
0,F,child,0.00,10000.00
0,F,homemaker,278.01,10000.00
0,F,homemaker,103.06,10000.00
0,F,homemaker,156.25,10000.00
0,M,child,0.00,10000.00
0,M,service provider,6837.31,10000.00
0,M,child,0.00,10000.00
0,F,fisher,1547.83,10000.00
0,F,civil servant,5581.21,10000.00
0,F,farmer,2605.73,10000.00
0,M,farmer,3261.61,10000.00
0,F,farmer,1532.22,10000.00
0,F,farmer,2421.51,10000.00
0,F,child,0.00,10000.00
0,M,craftsman,2781.32,10000.00
0,M,child,0.00,10000.00
0,M,craftsman,3143.90,10000.00
0,M,homemaker,131.38,10000.00
0,M,unemployed,282.78,10000.00
0,F,child,0.00,10000.00
0,M,farmer,1320.54,10000.00
0,M,homemaker,141.62,10000.00
0,M,fisher,3088.21,10000.00
0,M,civil servant,6683.06,10000.00
1,F,civil servant,5216.41,12334.28
1,M,child,0.00,10000.00
1,M,unemployed,127.68,9579.84
1,M,farmer,1944.61,10698.38
1,F,child,0.00,10000.00
1,F,civil servant,5109.86,12281.01
1,F,child,0.00,10000.00
1,M,homemaker,158.99,9611.15
1,M,child,0.00,10000.00
1,M,fisher,1452.89,10452.52
1,M,child,0.00,10000.00
1,F,fisher,1337.72,10394.94
1,M,homemaker,226.41,9678.57
1,M,farmer,1416.51,10434.33
1,F,craftsman,4641.21,12046.68
1,F,service provider,6505.28,12978.72
1,M,child,0.00,10000.00
1,F,child,0.00,10000.00
1,F,child,0.00,10000.00
1,M,civil servant,4593.95,12023.05
1,F,retired,285.80,9737.96
1,F,unemployed,117.62,9569.78
1,M,craftsman,4399.00,11925.58
1,M,homemaker,241.51,9693.67
1,F,service provider,5215.95,12334.05
1,M,service provider,6195.24,12823.70
1,M,farmer,3257.34,11354.75
1,M,child,0.00,10000.00
1,F,child,0.00,10000.00
1,F,child,0.00,10000.00
1,F,child,0.00,10000.00
1,F,civil servant,5206.33,12329.24
1,F,farmer,2050.20,10751.18
1,X,child,0.00,10000.00
1,M,fisher,2458.40,10955.28
1,F,homemaker,232.40,9684.56
1,F,child,0.00,10000.00
1,F,craftsman,3925.88,11689.02
1,F,farmer,2667.70,11059.93
1,F,child,0.00,10000.00
1,F,service provider,6475.41,12963.78
1,M,farmer,3075.80,11263.98
1,M,child,0.00,10000.00
1,M,child,0.00,10000.00
1,M,craftsman,2272.58,10862.37
1,M,craftsman,4669.58,12060.87
1,M,unemployed,294.51,9746.67
1,M,farmer,1519.75,10485.95
1,F,unemployed,228.54,9680.70
1,M,child,0.00,10000.00
1,M,craftsman,4529.11,11990.63
1,M,farmer,2279.57,10865.86
1,M,child,0.00,10000.00
1,F,homemaker,237.51,9689.67
1,F,craftsman,5524.34,12488.25
1,F,homemaker,199.99,9652.15
1,M,child,0.00,10000.00
1,F,craftsman,6284.25,12868.20
1,M,fisher,2740.34,11096.25
1,M,civil servant,3177.58,11314.87
1,X,homemaker,145.47,9597.63
1,F,farmer,1362.82,10407.49
1,F,farmer,1753.09,10602.62
1,F,fisher,1305.95,10379.05
1,F,service provider,6518.34,12985.25
1,F,homemaker,246.43,9698.59
1,M,child,0.00,10000.00
1,M,homemaker,279.86,9732.02
1,M,homemaker,197.64,9649.80
1,M,unemployed,256.63,9708.79
1,M,civil servant,5620.86,12536.51
1,F,homemaker,144.90,9597.06
1,F,service provider,5747.20,12599.68
1,M,fisher,3131.67,11291.91
1,F,unemployed,101.48,9553.64
1,M,craftsman,5284.71,12368.43
1,F,farmer,1833.40,10642.78
1,M,homemaker,163.23,9615.39
1,M,fisher,1560.54,10506.35
1,M,service provider,5847.80,12649.98
1,F,unemployed,101.40,9553.56
1,M,farmer,2895.12,11173.64
1,F,homemaker,257.87,9710.03
1,F,child,0.00,10000.00
1,M,service provider,7266.40,13359.28
1,M,child,0.00,10000.00
1,X,civil servant,4149.75,11800.95
1,F,fisher,2072.08,10762.12
1,M,farmer,1360.86,10406.51
1,M,child,0.00,10000.00
1,M,unemployed,256.87,9709.03
1,F,child,0.00,10000.00
1,F,child,0.00,10000.00
1,M,homemaker,239.00,9691.16
1,M,service provider,3062.06,11257.11
1,M,homemaker,282.18,9734.34
1,X,homemaker,227.40,9679.56
1,F,farmer,1117.10,10284.63
1,X,child,0.00,10000.00
1,F,fisher,3126.60,11289.38
1,M,child,0.00,10000.00
1,F,unemployed,232.67,9684.83
1,F,civil servant,4131.86,11792.01
1,F,craftsman,4842.97,12147.56
1,M,civil servant,5445.67,12448.91
1,F,craftsman,4270.73,11861.44
1,M,homemaker,155.79,9607.95
1,M,homemaker,246.75,9698.91
1,M,child,0.00,10000.00
1,F,child,0.00,10000.00
1,F,civil servant,5809.51,12630.83
1,M,fisher,1181.61,10316.88
1,F,unemployed,179.91,9632.07
1,M,craftsman,3423.98,11438.07
1,F,unemployed,172.50,9624.66
1,F,fisher,1503.94,10478.05
1,M,farmer,2435.53,10943.84
1,F,farmer,1236.99,10344.57
1,F,farmer,2441.36,10946.76
1,M,homemaker,99.22,9551.38
1,F,child,0.00,10000.00
1,F,child,0.00,10000.00
1,F,child,0.00,10000.00
1,F,child,0.00,10000.00
1,M,farmer,1813.00,10632.58
1,M,homemaker,233.37,9685.53
1,M,child,0.00,10000.00
1,F,child,0.00,10000.00
1,F,farmer,1842.40,10647.28
1,F,unemployed,228.32,9680.48
1,M,homemaker,309.68,9761.84
