year,sex,profession,income,net_worth,happiness
0,F,civil servant,5131.08,10000.00,100.00
0,M,child,0.00,10000.00,100.00
0,M,unemployed,124.10,10000.00,100.00
0,M,farmer,1868.39,10000.00,100.00
0,F,child,0.00,10000.00,100.00
0,F,civil servant,5045.29,10000.00,100.00
0,F,child,0.00,10000.00,100.00
0,M,homemaker,149.64,10000.00,100.00
0,M,child,0.00,10000.00,100.00
0,M,fisher,1381.20,10000.00,100.00
0,M,child,0.00,10000.00,100.00
0,F,fisher,1289.44,10000.00,100.00
0,M,homemaker,236.64,10000.00,100.00
0,M,farmer,1354.75,10000.00,100.00
0,F,craftsman,4597.94,10000.00,100.00
0,F,service provider,6856.92,10000.00,100.00
0,M,child,0.00,10000.00,100.00
0,F,child,0.00,10000.00,100.00
0,F,child,0.00,10000.00,100.00
0,M,civil servant,4389.01,10000.00,100.00
0,F,civil servant,7777.50,10000.00,100.00
0,F,unemployed,113.73,10000.00,100.00
0,M,craftsman,4089.14,10000.00,100.00
0,M,homemaker,227.98,10000.00,100.00
0,F,service provider,5385.51,10000.00,100.00
0,M,service provider,6093.55,10000.00,100.00
0,M,farmer,3086.57,10000.00,100.00
0,M,child,0.00,10000.00,100.00
0,F,child,0.00,10000.00,100.00
0,F,child,0.00,10000.00,100.00
0,F,child,0.00,10000.00,100.00
0,F,civil servant,5392.38,10000.00,100.00
0,F,farmer,1936.89,10000.00,100.00
0,X,child,0.00,10000.00,100.00
0,M,fisher,2372.70,10000.00,100.00
0,F,homemaker,235.72,10000.00,100.00
0,F,child,0.00,10000.00,100.00
0,F,craftsman,3864.62,10000.00,100.00
0,F,farmer,2441.01,10000.00,100.00
0,F,child,0.00,10000.00,100.00
0,F,service provider,6637.22,10000.00,100.00
0,M,farmer,3277.47,10000.00,100.00
0,M,child,0.00,10000.00,100.00
0,M,child,0.00,10000.00,100.00
0,M,craftsman,2183.44,10000.00,100.00
0,M,craftsman,4399.85,10000.00,100.00
0,M,unemployed,293.09,10000.00,100.00
0,M,farmer,1367.43,10000.00,100.00
0,F,unemployed,220.56,10000.00,100.00
0,M,child,0.00,10000.00,100.00
0,M,craftsman,4229.55,10000.00,100.00
0,M,farmer,2139.94,10000.00,100.00
0,M,child,0.00,10000.00,100.00
0,F,homemaker,236.30,10000.00,100.00
0,F,craftsman,5445.69,10000.00,100.00
0,F,homemaker,182.73,10000.00,100.00
